id,timestamp,machine_id,cpu_usage,memory_usage
1000102,11310000,3caa59ac3b8f315dc64391e7cb6ea1d4d28d4192b586e0b7d073d8bec967fa88,0.5824057736184907,0.3455613142623317
1000103,11310000,8f740a77286f9e9147e0393bc38fb9a271038a52f634856ab51afb2708866494,0.6011187049129119,0.3665786947974059
1000104,11310000,3cb9e5b5f7331ccad56c085cfa7b1de12da08c2ec14d60755b3f0ced2e7f7a0e,0.5970768306110903,0.49175682588599656
1000105,11310000,51c250e6acf8b9e2573d279d46fb49d200bd77aa72378dee51f9b1dcd3120d7f,0.6032410721653283,0.45653387002519263
1000106,11310000,897d79d6e9425de5bf78e08b8b98c686ff047852ec009edcd6bb41669663f026,0.602559925983501,0.5279396574137802
1000107,11310000,646857b4a19001201d15fba283787f8bbc81c8265285d208fd91dea5b6ae6d77,0.7697198175438287,0.03727899655657829
1000108,11310000,1a92224cedd7b64c789c95b6b03f3f0c177fb22c4aba2ae27ee70c516167e569,0.6495533274157992,0.6028706273972757
1000109,11310000,f8afa9e365b2c1dabb85f26a574e566472a90da809881bed960863abf1722e26,0.6339569480562983,0.22023522778161997
1000110,11310000,56eb59975c0b1f4501fa6258446e0c35c2b872f792628db5199f9824ebb3534e,0.7865360851894485,0.5779759396353921
1000111,11310000,433b08900dcb311d22324777035a7601dda65427333e0fd08c0dea4dd39739aa,0.7236418653089844,0.5360646985280839
1000112,11310000,1088cb067aa7d949fbd5a6ae5eca720b36b5d07a595865796ee1f2515045da20,0.6330727445580013,0.9560273977298088
1000113,11310000,8415e59d86d8619df7a4b733801f53927999616c808ea2e58ffd2980a14abd36,0.49909335555785034,0.914638179775566
1000114,11310000,d4b43719073065ac774c83e708844bcab73c3fb31fdf98e4e5fa962311889b61,0.5397652704539815,0.5601300162881326
1000115,11310000,40ada501a22225dfa7e5506393f9c90e55d7545f836815f73855dbae2f38d5e1,0.6147637405253881,0.32666183277393923
1000116,11310000,494cdb9c779b440c391e46378a2700cdb83429a087fdc22159814d0628ee6d35,0.6323227422014679,0.09133472653656938
1000117,11310000,2fd6a050c115a3583d053ddaaeec7eee980fb1abda47d980cb45794148c8801e,0.6373875811617,0.5839368683841828
1000118,11310000,33c7451d4dd0a6fcf2bb7f98c5c8edd620a217c6b1d22162ae236f578a98fa9a,0.7021958896575573,0.45906690986529863
1000119,11310000,5a63bc71e7d0b7b6e84ab65b05e353b54f444654fe7a3e1c2a183886212649d8,0.7014118101555069,0.29743262899717493
1000120,11310000,cd1e7af176046bc3cbb917c2d4cf3a90f704b6bde8d3916a8384951b3ca1ad5f,0.691499050559329,0.6649870887533478
1000121,11310000,b15e6f70398ccd340f0ca236b1eb61626b314a64706ac09d4ced7458929b20a4,0.6788486904835818,0.3241277048054805
1000122,11310000,6bcc697ff1017e987d915e04ad22734b5603bc53a5858a6f9126e8efb5e4d97c,0.7433647841468831,0.5656178442538291
1000123,11310000,5d479aa3145c7b81661f9df38b91c5151000ae0c06deeb15cacae94ff402c9d3,0.7253695592354437,0.5141961452031758
1000124,11310000,b890521ce1967863312eb0aae77b2c0ea063bebc837f17919486ff99df5f25bd,0.7530610423545194,0.8965962985400786
1000125,11310000,07aa7269db718b389c245f1e4a5742cbc3c68a59a96ede38b10d8aa7f7434638,0.5959950629749946,0.5700732011585394
1000126,11310000,673cbf69b30eb2cefbe955cb7d6915d7ab7271f70889c87ae385f124ab5e8bd6,0.7262629933927565,0.5117421936552322
1000127,11310000,c057bce35976403d1c061d9b14c955baa601c090a49cc124e534c209e108935a,0.7464090959458203,0.4132026272904925
1000128,11310000,4ab6f0e681d1d5709c3eec199c507c5ee9bdd3704fa74d62b55b061ea1bc54e6,0.7107029815006873,0.6078878778576939
1000129,11310000,a7d85f6c839930f9bb987346535e6ebd12e060275ee0e6bf87e5d03e72aa32a8,0.646273103354229,0.4964124201040807
1000130,11310000,e511ebfa91b9bd8114af067a850ef766f51a4075d973c0924ac307ce4314890b,0.6823313974232985,0.8053276530032933
1000131,11310000,f818712f9d895706900acd15417d7d396cdebfc3434504349c0e9fea6b35ffed,0.6478472753028544,0.483247747440128
1000132,11310000,e17330f7d2659e559d034b7906d0e4c9a513bff8ac6d3030204197c50ba2cb5a,0.8482973856686615,0.6393738787544727
1000133,11310000,2e45017c5ba972ce7a16e672ff443bdbec8b057327543110381e823137518dbf,0.624980483042354,0.6818516281884053
1000134,11310000,d15395f2a3172abe4925983a4309890233352e0bb8e46e7e8e4522485668c9ab,0.7594499238013364,0.6772380155333098
1000136,11310000,c50f2e90a834cd1851da5dd4462f586739835afe609805feb285665cb31b3a74,0.5480393407961861,0.26180269440992276
1000137,11310000,502ad21495a78d41ee134344c786a5ac75d2c44f13b4d3146d5f8ca3004870bd,0.7066509505096128,0.4679533731888892
